filename, language, JSON, Properties, XML, Markdown, C#, JSON with Comments, JavaScript, HTML, TypeScript, CSS, SQL, SCSS, Batch, comment, blank, total
c:\Users\tadak\source\repos\XYZ-To-Do\.editorconfig, Properties, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
c:\Users\tadak\source\repos\XYZ-To-Do\.vs\VSWorkspaceState.json, JSON, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\AuthController.cs, C#, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 39, 40, 250
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\FilesController.cs, C#, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 19, 45, 347
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\MemberLicenseController.cs, C#, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 137
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\MemberSettingController.cs, C#, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\MembersController.cs, C#, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 84
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalkMessagesController.cs, C#, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalkReceiversController.cs, C#, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 38, 21, 142
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalkTeamReceiversController.cs, C#, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 102
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalksController.cs, C#, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 227
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ProjectToDoCommentsController.cs, C#, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 92
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ProjectToDosController.cs, C#, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 168
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ProjectsController.cs, C#, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 158
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\QuickToDoCommentsController.cs, C#, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\QuickToDosController.cs, C#, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 176
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\TeamMembersController.cs, C#, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 175
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\TeamsController.cs, C#, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 161
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ValuesController.cs, C#, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 46
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\CommentNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 41, 260
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\ContainerBlobNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 42, 193
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\ContainerNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 42, 192
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\PrivateTalkMessageNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 24, 148
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\PrivateTalkNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 41, 236
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\ProjectNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 48, 265
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\ProjectToDoNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 38, 228
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\QuickToDoNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 31, 227
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\TeamMemberNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 32, 201
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\XyzekiNotificationHub.cs, C#, 0, 0, 0, 0, 1087, 0, 0, 0, 0, 0, 0, 0, 0, 82, 269, 1438
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\Abstract\IConfigurationHelpers.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\Abstract\ICryptoHelpers.cs, C#, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\Abstract\IJWTHelpers.cs, C#, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\ConfigurationHelpers.cs, C#, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 90, 29, 139
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\ConnectionMapping.cs, C#, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 84
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\CryptoHelpers.cs, C#, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 77
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\CustomUserIdProvider.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\ErrorCodes.cs, C#, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\JWTHelpers.cs, C#, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 71
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\Middlewares\WebSocketsMiddleware.cs, C#, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 34
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\PrivacyModes.cs, C#, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IAuthRepository.cs, C#, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IMemberLicenseRepository.cs, C#, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 32
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IMemberRepository.cs, C#, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IMemberSettingRepository.cs, C#, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IPrivateTalkMessageRepository.cs, C#, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IPrivateTalkReceiverRepository.cs, C#, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IPrivateTalkRepository.cs, C#, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 38
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IPrivateTalkTeamReceiverRepository.cs, C#, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IProjectRepository.cs, C#, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 35
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IProjectToDoCommentRepository.cs, C#, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 21
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IProjectToDoRepository.cs, C#, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IQuickTodoCommentRepository.cs, C#, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 21
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IQuickTodoRepository.cs, C#, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\ITeamMemberRepository.cs, C#, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 30
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\ITeamRepository.cs, C#, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 32
c:\Users\tadak\source\repos\XYZ-To-Do\Models\AzureModels\CloudContainer.cs, C#, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
c:\Users\tadak\source\repos\XYZ-To-Do\Models\AzureModels\CloudContainersModel.cs, C#, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
c:\Users\tadak\source\repos\XYZ-To-Do\Models\AzureModels\CloudFile.cs, C#, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
c:\Users\tadak\source\repos\XYZ-To-Do\Models\AzureModels\CloudFilesModel.cs, C#, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 47
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Connection.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionComment.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionContainer.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionContainerBlob.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionPrivateTalk.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionPrivateTalkMessage.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionProject.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionProjectToDo.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionQuickToDo.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionTeamMember.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ConnectionXyzeki.cs, C#, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\tadak\source\repos\XYZ-To-Do\Models\DatabasePersistanceLayer\XYZToDoSQLDbContext.cs, C#, 0, 0, 0, 0, 531, 0, 0, 0, 0, 0, 0, 0, 0, 2, 171, 704
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ForgotPassword.cs, C#, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Member.cs, C#, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
c:\Users\tadak\source\repos\XYZ-To-Do\Models\MemberLicense.cs, C#, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
c:\Users\tadak\source\repos\XYZ-To-Do\Models\MemberLicenseUsedStorage.cs, C#, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
c:\Users\tadak\source\repos\XYZ-To-Do\Models\MemberSetting.cs, C#, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
c:\Users\tadak\source\repos\XYZ-To-Do\Models\PrivateTalk.cs, C#, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
c:\Users\tadak\source\repos\XYZ-To-Do\Models\PrivateTalkLastSeen.cs, C#, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
c:\Users\tadak\source\repos\XYZ-To-Do\Models\PrivateTalkMessage.cs, C#, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
c:\Users\tadak\source\repos\XYZ-To-Do\Models\PrivateTalkReceiver.cs, C#, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
c:\Users\tadak\source\repos\XYZ-To-Do\Models\PrivateTalkTeamReceiver.cs, C#, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Project.cs, C#, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ProjectTask.cs, C#, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ProjectTaskComment.cs, C#, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
c:\Users\tadak\source\repos\XYZ-To-Do\Models\QuickTask.cs, C#, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
c:\Users\tadak\source\repos\XYZ-To-Do\Models\QuickTaskComment.cs, C#, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\AuthRepository.cs, C#, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 34, 77, 312
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\MemberLicenseRepository.cs, C#, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 112
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\MemberRepository.cs, C#, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 116
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\MemberSettingRepository.cs, C#, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\PrivateTalkMessageRepository.cs, C#, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 90
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\PrivateTalkReceiverRepository.cs, C#, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 126
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\PrivateTalkRepository.cs, C#, 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63, 318
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\PrivateTalkTeamReceiverRepository.cs, C#, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 109
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\ProjectRepository.cs, C#, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 28, 25, 182
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\ProjectToDoCommentRepository.cs, C#, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\ProjectToDoRepository.cs, C#, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 155
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\QuickToDoRepository.cs, C#, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 30, 21, 211
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\QuickTodoCommentRepository.cs, C#, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\TeamMemberRepository.cs, C#, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 29, 50, 295
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Repository\TeamRepository.cs, C#, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 117
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Team.cs, C#, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
c:\Users\tadak\source\repos\XYZ-To-Do\Models\TeamMember.cs, C#, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\CommentCountModel.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\LoginModel.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\MessageCountModel.cs, C#, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\PrivateTalkInsideOut.cs, C#, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\ProjectOrderModel.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\RecaptchaUserResponse.cs, C#, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\RegisterModel.cs, C#, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\ReturnModel.cs, C#, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\SecurityCodeModel.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
c:\Users\tadak\source\repos\XYZ-To-Do\Models\ViewModels\TaskOrderModel.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
c:\Users\tadak\source\repos\XYZ-To-Do\PWA2APKApp\assetlinks.json, JSON, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
c:\Users\tadak\source\repos\XYZ-To-Do\PWA2APKApp\keystore.properties, Properties, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
c:\Users\tadak\source\repos\XYZ-To-Do\PWABuilderApp\Next-steps.md, Markdown, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
c:\Users\tadak\source\repos\XYZ-To-Do\PWABuilderApp\assetlinks.json, JSON, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
c:\Users\tadak\source\repos\XYZ-To-Do\Program.cs, C#, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
c:\Users\tadak\source\repos\XYZ-To-Do\Properties\launchSettings.json, JSON, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
c:\Users\tadak\source\repos\XYZ-To-Do\README.md, Markdown, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 37
c:\Users\tadak\source\repos\XYZ-To-Do\Startup.cs, C#, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 68, 54, 258
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\Louis-Charles Gagnon Blog _ Microsoft Azure App Service - Set TimeZone for your web application.html, HTML, 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 15, 89, 446
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\agents in sql server2017 expr\backup.bat, Batch, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\agents in sql server2017 expr\backup.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\t-sql reference\emai.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 28, 57
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\t-sql reference\looping script.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 5, 10, 58
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\t-sql reference\timeops.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 11, 52, 138
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\t-sql reference\xyztodosemail.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 30, 59
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\Çalışan E-Mail Scripti.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338, 0, 0, 39, 222, 599
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\Çalışan Rapor Testi.html, HTML, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\İşveren E-Mail Scripti.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 36, 104, 323
c:\Users\tadak\source\repos\XYZ-To-Do\T-SQL Ref and Utilities, Reporting System, Problem Solvings\İşveren Rapor Testi.html, HTML, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 43
c:\Users\tadak\source\repos\XYZ-To-Do\XYZToDo.csproj, XML, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
c:\Users\tadak\source\repos\XYZ-To-Do\XYZToDoWorkspace.code-workspace, JSON with Comments, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
c:\Users\tadak\source\repos\XYZ-To-Do\angular.json, JSON, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 141
c:\Users\tadak\source\repos\XYZ-To-Do\appsettings.Development.json, JSON, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
c:\Users\tadak\source\repos\XYZ-To-Do\appsettings.json, JSON, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
c:\Users\tadak\source\repos\XYZ-To-Do\bin\Debug\netcoreapp2.0\XYZToDo.deps.json, JSON, 6101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6101
c:\Users\tadak\source\repos\XYZ-To-Do\bin\Debug\netcoreapp2.0\XYZToDo.runtimeconfig.dev.json, JSON, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
c:\Users\tadak\source\repos\XYZ-To-Do\bin\Debug\netcoreapp2.0\XYZToDo.runtimeconfig.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
c:\Users\tadak\source\repos\XYZ-To-Do\e2e\protractor.conf.js, JavaScript, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 2, 28
